Player,Team,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
VinnyVCapraCapraSS,MIL,3,7,2,3,0,0,2,6,0,2,1,0,.429,.429,1.286,1.715
EllyEDeLaCruzDeLaCruzSS,CIN,2,5,3,3,0,0,2,2,0,0,0,0,.600,.600,1.800,2.400
MattMGorskiGorskiLF,PIT,2,5,2,2,0,0,2,6,0,1,0,0,.400,.400,1.600,2.000
TrevorTHauverHauverX,TEX,4,6,2,3,1,0,2,4,0,0,0,0,.500,.500,1.667,2.167
AustinAHaysHaysLF,CIN,2,5,2,3,1,0,2,6,0,0,0,0,.600,.600,2.000,2.600
SandySLenLenC,ATL,2,3,2,2,0,0,2,2,0,1,0,0,.667,.667,2.667,3.334
CamCSmithSmithB,HOU,2,2,3,2,0,0,2,3,2,0,0,0,1.000,1.000,4.000,5.000
MichaelMTogliaTogliaB,COL,3,8,2,3,0,0,2,5,1,1,0,0,.375,.444,1.125,1.569
HoganHWindishWindishB,SEA,3,5,4,3,0,0,2,4,0,2,0,0,.600,.667,1.800,2.467
MiguelMAmayaAmayaC,CHC,2,6,2,5,1,0,1,2,0,0,0,0,.833,.857,1.500,2.357
GabrielGAriasAriasB,CLE,2,5,1,2,0,0,1,1,0,0,0,0,.400,.400,1.000,1.400
ChristianCArroyoArroyoB,PHI,2,4,1,1,0,0,1,1,0,3,0,0,.250,.250,1.000,1.250
JosJAzocarAzocarCF,NYM,2,5,2,2,0,0,1,1,0,1,0,0,.400,.400,1.000,1.400
HarrisonHBaderBaderLF,MIN,2,5,1,3,0,0,1,1,0,0,0,0,.600,.600,1.200,1.800
PatrickPBaileyBaileyC,SF,2,5,1,1,0,0,1,1,0,0,0,0,.200,.200,.800,1.000
LukenLBakerBakerDH,STL,2,4,1,2,0,0,1,4,1,1,0,0,.500,.500,1.250,1.750
WillWBanfieldBanfieldC,CIN,2,3,1,1,0,0,1,3,0,1,0,0,.333,.333,1.333,1.666
JoseJBarreroBarreroSS,STL,3,4,1,2,0,0,1,3,0,0,0,0,.500,.500,1.250,1.750
BrettBBatyBatyB,NYM,3,8,3,5,1,0,1,1,0,0,0,0,.625,.625,1.125,1.750
JakeJBauersBauersB,MIL,3,7,2,2,1,0,1,3,1,2,0,0,.286,.375,.857,1.232
TravisTBazzanaBazzanaB,CLE,2,3,1,1,0,0,1,4,3,2,0,0,.333,.667,1.333,2.000
JaxJBiggersBiggersB,TEX,3,3,1,1,0,0,1,1,0,0,0,0,.333,.333,1.333,1.666
CavanCBiggioBiggioB,KC,2,5,2,3,1,0,1,1,1,0,0,0,.600,.667,1.400,2.067
EnriqueEBradfieldJrBradfieldX,BAL,2,4,2,1,0,0,1,2,0,0,0,1,.250,.250,1.000,1.250
JoshJBreauxBreauxX,PHI,1,2,1,2,0,0,1,1,0,0,0,0,1.000,1.000,2.500,3.500
AlexABregmanBregmanB,BOS,1,3,1,3,1,0,1,2,0,0,0,0,1.000,1.000,2.333,3.333
IvanIBrethowrBrethowrDH,CHC,5,6,1,2,0,0,1,3,0,3,0,1,.333,.333,.833,1.166
VidalVBrujnBrujnB,CHC,4,10,4,2,0,1,1,1,2,3,2,0,.200,.333,.700,1.033
KrisKBryantBryantDH,COL,2,2,2,1,0,0,1,2,2,0,0,0,.500,.750,2.000,2.750
MichaelMBuschBuschB,CHC,3,10,2,5,1,0,1,6,0,0,0,0,.500,.500,.900,1.400
LawrenceLButlerButlerRF,ATH,2,6,2,4,1,0,1,1,0,1,0,1,.667,.667,1.333,2.000
JacJCaglianoneCaglianoneB,KC,3,5,1,3,0,0,1,2,0,1,0,0,.600,.600,1.200,1.800
JuniorJCamineroCamineroB,TB,2,5,2,1,0,0,1,1,1,1,0,0,.200,.333,.800,1.133
VictorVCaratiniCaratiniC,HOU,2,5,2,2,0,0,1,1,0,1,0,0,.400,.400,1.000,1.400
ColeCCarriggCarriggX,COL,5,7,2,3,2,0,1,5,1,1,1,0,.429,.500,1.143,1.643
CorbinCCarrollCarrollRF,AZ,2,5,1,1,0,0,1,1,1,2,0,0,.200,.333,.800,1.133
AndrsAChaparroChaparroDH,WSH,3,7,2,4,0,0,1,4,0,0,0,0,.571,.571,1.000,1.571
BenjaminBCowlesCowlesSS,CHC,5,10,3,3,1,0,1,2,0,2,1,0,.300,.300,.700,1.000
DillonDDinglerDinglerC,DET,1,2,1,1,0,0,1,2,0,0,0,0,.500,.500,2.000,2.500
BrentonBDoyleDoyleCF,COL,3,9,2,2,0,0,1,4,0,2,1,0,.222,.222,.556,.778
OliverODunnDunnB,MIL,3,9,2,4,0,0,1,1,1,0,2,0,.444,.500,.778,1.278
BryceBEldridgeEldridgeX,SF,4,7,2,2,0,0,1,2,1,5,0,0,.286,.375,.714,1.089
TimTElkoElkoB,CWS,2,2,1,1,0,0,1,1,2,1,0,0,.500,.750,2.000,2.750
SantiagoSEspinalEspinalSS,CIN,2,5,2,2,0,1,1,1,0,0,0,0,.400,.400,1.400,1.800
HunterHFeducciaFeducciaC,LAD,3,7,1,4,1,0,1,5,0,2,0,0,.571,.571,1.143,1.714
DominicDFletcherFletcherCF,CWS,3,5,1,1,0,0,1,2,0,2,0,0,.200,.333,.800,1.133
TyTFranceFranceB,MIN,2,4,1,2,1,0,1,1,0,0,0,0,.500,.500,1.500,2.000
MitchMGarverGarverC,SEA,3,6,3,3,0,0,1,1,1,1,0,0,.500,.571,1.000,1.571
TylerTGentryGentryRF,KC,3,7,3,3,0,0,1,3,0,1,1,0,.429,.429,.857,1.286
RileyRGreeneGreeneLF,DET,1,2,1,2,0,0,1,2,1,0,0,0,1.000,1.000,2.500,3.500
MitchMHanigerHanigerRF,SEA,2,4,1,1,0,0,1,1,0,0,0,0,.250,.250,1.000,1.250
RobertRHassellIIIHassellCF,WSH,3,9,3,4,2,0,1,5,0,2,1,0,.444,.444,1.000,1.444
DerekDHillHillCF,MIA,2,4,1,1,0,0,1,1,1,0,0,0,.250,.400,1.000,1.400
ZyhirZHopeHopeRF,LAD,6,11,1,3,1,0,1,3,1,1,0,0,.273,.333,.636,.969
RhysRHoskinsHoskinsB,MIL,1,2,2,1,0,0,1,1,1,1,0,0,.500,.667,2.000,2.667
SamSHuffHuffC,SF,3,6,1,1,0,0,1,2,1,5,0,0,.167,.286,.667,.953
DannyDJansenJansenC,TB,1,2,1,1,0,0,1,1,0,1,0,0,.500,.500,2.000,2.500
CarterCJensenJensenX,KC,3,3,2,1,0,0,1,1,3,0,1,0,.333,.667,1.333,2.000
SpencerSJonesJonesCF,NYY,2,4,1,2,1,0,1,2,2,2,0,0,.500,.667,1.500,2.167
SimonSJuanJuanLF,NYM,2,4,1,2,0,0,1,4,0,0,0,0,.500,.500,1.250,1.750
CoreyCJulksJulksLF,CWS,2,5,1,1,0,0,1,2,0,2,0,0,.200,.200,.800,1.000
CJCKayfusKayfusB,CLE,2,2,2,1,0,0,1,1,2,0,0,0,.500,.750,2.000,2.750
CarsonCKellyKellyC,CHC,2,5,1,1,0,0,1,1,1,3,0,0,.200,.333,.800,1.133
BuddyBKennedyKennedyB,PHI,3,6,1,1,0,0,1,2,2,2,0,0,.167,.375,.667,1.042
HestonHKjerstadKjerstadRF,BAL,2,5,1,1,0,0,1,2,1,3,0,0,.200,.333,.800,1.133
ChristianCKossKossSS,SF,4,5,4,3,1,0,1,2,1,1,0,0,.600,.667,1.400,2.067
StevenSKwanKwanLF,CLE,2,6,2,3,1,0,1,1,0,1,0,0,.500,.500,1.167,1.667
JoeJLampeLampeLF,CLE,3,5,2,1,0,0,1,1,0,1,0,0,.200,.200,.800,1.000
JungHooJLeeLeeCF,SF,2,5,1,2,0,0,1,1,1,1,0,0,.400,.500,1.000,1.500
MarcoMLucianoLucianoLF,SF,4,9,2,2,0,0,1,1,1,2,0,0,.222,.300,.556,.856
MannyMMachadoMachadoB,SD,3,6,1,2,1,0,1,2,0,0,0,0,.333,.333,1.000,1.333
VimaelVMachnMachnB,BAL,3,7,1,3,1,0,1,2,0,0,0,0,.429,.429,1.000,1.429
LukeLMaileMaileC,KC,1,4,2,2,0,0,1,3,0,0,0,0,.500,.500,1.250,1.750
BenBMalgeriMalgeriCF,DET,2,6,1,5,1,0,1,7,0,1,1,0,.833,.833,1.500,2.333
KyleKManzardoManzardoB,CLE,2,4,2,2,0,0,1,2,0,1,0,0,.500,.500,1.250,1.750
OrelvisOMartinezMartinezB,TOR,3,5,2,2,1,0,1,1,2,1,0,0,.400,.571,1.200,1.771
ErnestoEMartinezJrMartinezB,MIL,2,7,1,1,0,0,1,2,0,4,0,0,.143,.143,.571,.714
GrantGMcCrayMcCrayCF,SF,4,9,1,1,0,0,1,1,1,7,0,0,.111,.200,.444,.644
MattMMervisMervisB,MIA,2,4,1,2,0,0,1,2,0,2,0,0,.500,.500,1.250,1.750
TylerTMillerMillerB,BOS,2,3,1,1,0,0,1,2,0,1,0,0,.333,.333,1.333,1.666
LazaroLMontesMontesRF,SEA,2,3,3,1,0,0,1,3,2,1,0,0,.333,.600,1.333,1.933
ColsonCMontgomeryMontgomerySS,CWS,3,7,1,1,0,0,1,2,0,4,0,0,.143,.143,.571,.714
MaxMMuncyMuncyB,LAD,3,6,3,3,0,0,1,3,1,3,0,0,.500,.625,1.000,1.625
ChrisCOkeyOkeyX,LAD,5,7,1,3,1,0,1,3,1,1,0,0,.429,.556,1.000,1.556
JaredJOlivaOlivaRF,MIL,3,5,2,2,0,0,1,1,0,3,1,0,.400,.400,1.000,1.400
TirsoTOrnelasOrnelasX,SD,4,9,3,4,2,0,1,2,2,0,0,0,.444,.545,1.000,1.545
AbimelecAOrtizOrtizB,TEX,3,4,1,2,1,0,1,1,0,0,0,0,.500,.500,1.500,2.000
MarcellMOzunaOzunaDH,ATL,2,4,1,2,0,0,1,2,1,1,0,0,.500,.600,1.250,1.850
JocJPedersonPedersonB,TEX,2,4,2,1,0,0,1,3,1,1,0,0,.250,.400,1.000,1.400
GeraldoGPerdomoPerdomoSS,AZ,3,6,3,2,1,0,1,1,2,1,0,0,.333,.500,1.000,1.500
EversonEPereiraPereiraDH,NYY,3,6,2,2,0,0,1,1,2,2,0,0,.333,.556,.833,1.389
AndrewAPintarPintarCF,MIA,2,3,1,1,0,0,1,2,0,1,0,0,.333,.333,1.333,1.666
CeddanneCRafaelaRafaelaCF,BOS,3,7,2,2,0,0,1,1,1,0,1,0,.286,.375,.714,1.089
GabrielGRinconesJrRinconesRF,PHI,3,4,1,1,0,0,1,2,1,0,0,0,.250,.400,1.000,1.400
EmmanuelERiveraRiveraB,BAL,2,5,2,2,0,0,1,3,0,1,0,0,.400,.400,1.000,1.400
EddieERosarioRosarioLF,LAD,4,10,1,2,0,0,1,3,1,4,1,0,.200,.273,.500,.773
EguyERosarioRosarioB,SD,4,10,3,3,1,0,1,4,1,4,0,0,.300,.364,.700,1.064
TommyTSaccoJrSaccoSS,HOU,2,6,1,2,0,0,1,4,0,0,0,0,.333,.333,.833,1.166
VictorVScottIIScottLF,STL,2,5,2,3,0,1,1,3,1,1,0,0,.600,.667,1.600,2.267
JoseJSiriSiriCF,NYM,2,5,1,1,0,0,1,1,1,1,0,0,.200,.333,.800,1.133
DominicDoSmithSmithB,NYY,2,6,1,1,0,0,1,2,0,1,0,0,.167,.167,.667,.834
JorgeJSolerSolerDH,LAA,2,4,2,3,0,0,1,4,1,1,0,0,.750,.800,1.500,2.300
JuanJSotoSotoRF,NYM,2,4,2,2,0,0,1,2,0,0,0,0,.500,.500,1.250,1.750
DJDStewartStewartRF,PIT,3,6,1,3,2,0,1,3,0,2,0,0,.500,.500,1.333,1.833
SalSStewartStewartX,CIN,3,5,1,2,0,0,1,1,0,0,0,0,.400,.400,1.000,1.400
JosephJSullivanSullivanCF,HOU,3,5,2,1,0,0,1,2,0,2,0,0,.200,.333,.800,1.133
LeodyLTaverasTaverasCF,TEX,3,7,1,1,0,0,1,3,0,1,0,0,.143,.143,.571,.714
SamadSTaylorTaylorLF,SEA,3,6,3,3,1,0,1,4,0,3,1,0,.500,.500,1.167,1.667
LaneLThomasThomasCF,CLE,2,3,2,1,0,0,1,2,3,2,1,0,.333,.667,1.333,2.000
TrayceTThompsonThompsonRF,BOS,2,4,1,1,0,0,1,2,1,1,1,0,.250,.400,1.000,1.400
TylerTTolbertTolbertB,KC,3,6,1,2,1,0,1,1,1,3,0,0,.333,.429,1.000,1.429
AlexanderAVargasVargasB,NYY,3,4,1,2,0,0,1,1,0,1,0,0,.500,.500,1.250,1.750
IldemaroIVargasVargasB,AZ,3,9,1,4,1,0,1,3,0,1,0,0,.444,.444,.889,1.333
ZacZVeenVeenLF,COL,5,13,3,4,2,0,1,4,0,1,3,0,.308,.357,.692,1.049
MattMWallnerWallnerRF,MIN,2,5,1,1,0,0,1,2,0,1,0,0,.200,.200,.800,1.000
JJJWetherholtWetherholtDH,STL,3,6,2,2,0,0,1,3,1,2,1,0,.333,.429,.833,1.262
ChrisCWilliamsWilliamsC,NYM,2,3,1,1,0,0,1,1,0,2,0,0,.333,.333,1.333,1.666
GageGWorkmanWorkmanB,CHC,5,12,2,4,0,0,1,4,1,3,0,1,.333,.357,.583,.940
RJRYeagerYeagerB,STL,4,5,4,2,0,0,1,1,1,3,0,0,.400,.500,1.000,1.500
JacobJYoungYoungCF,WSH,3,6,3,3,0,0,1,1,0,1,2,0,.500,.500,1.000,1.500
CJCAbramsAbramsSS,WSH,1,3,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
MaxMAcostaAcostaSS,MIA,1,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
FranciscoFAcunaAcunaB,SD,1,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000
LuisangelLAcuaAcuaB,NYM,2,6,1,1,0,0,0,1,0,2,1,0,.167,.167,.167,.334
WillyWAdamesAdamesSS,SF,2,5,0,2,0,0,0,0,1,0,0,0,.400,.500,.400,.900
LukeLAdamsAdamsX,MIL,3,3,0,1,0,0,0,0,0,0,0,0,.333,.500,.333,.833
JordynJAdamsAdamsCF,BAL,1,2,0,1,0,0,0,2,0,0,0,0,.500,.500,.500,1.000
RileyRAdamsAdamsC,WSH,1,1,0,0,0,0,0,0,1,1,0,0,.000,.500,.000,.500
JoJAdellAdellCF,LAA,3,7,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000
ZachZAgnosAgnosP,COL,2,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
TaylerTAguilarAguilarRF,COL,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
NickNAhmedAhmedSS,TEX,2,4,1,0,0,0,0,0,0,0,0,0,.000,.200,.000,.200
KevinKAlcntaraAlcantaraLF,CHC,5,12,4,6,2,0,0,4,0,3,1,0,.500,.500,.667,1.167
SergioSAlcntaraAlcntaraSS,SF,4,6,1,2,0,0,0,0,1,2,0,0,.333,.429,.333,.762
KempKAldermanAldermanLF,MIA,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
BlazeBAlexanderAlexanderB,AZ,2,2,1,0,0,0,0,0,1,0,0,0,.000,.333,.000,.333
CJCAlexanderAlexanderB,ATH,4,5,0,3,0,0,0,0,1,0,0,0,.600,.667,.600,1.267
JorgeJAlfaroAlfaroC,MIL,2,5,0,1,0,0,0,0,0,4,0,0,.200,.200,.200,.400
EliezerEAlfonzoAlfonzoC,DET,1,2,1,1,1,0,0,2,0,0,0,0,.500,.500,1.000,1.500
OmarOAlfonzoAlfonzoX,PIT,1,2,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000
PabloPAliendoAliendoX,CHC,3,5,0,1,0,0,0,0,0,1,0,1,.200,.200,.200,.400
GregGAllenAllenLF,CHC,2,4,3,3,0,1,0,0,1,1,0,0,.750,.800,1.250,2.050
NickNAllenAllenSS,ATL,3,6,0,2,0,0,0,1,0,2,0,0,.333,.333,.333,.666
JayJAllenIIAllenIILF,CIN,1,2,0,1,0,0,0,1,0,0,0,0,.500,.500,.500,1.000
ArielAAlmonteAlmonteRF,CIN,1,1,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
AlbertAAlmoraAlmoraRF,MIA,1,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
PetePAlonsoAlonsoB,NYM,2,1,0,1,1,0,0,2,4,0,0,0,1.000,1.000,2.000,3.000
ArmandoAAlvarezAlvarezB,MIN,3,6,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000
EddyEAlvarezAlvarezB,ATL,3,5,0,0,0,0,0,0,0,3,0,0,.000,.000,.000,.000
FranciscoFAlvarezAlvarezC,NYM,3,8,0,2,0,0,0,1,1,3,0,0,.250,.333,.250,.583
NachoNAlvarezJrAlvarezB,ATL,2,5,0,0,0,0,0,0,1,1,0,0,.000,.167,.000,.167
AdaelAAmadorAmadorB,COL,5,10,1,1,0,0,0,1,1,3,0,0,.100,.182,.100,.282
JacobJAmayaAmayaSS,CWS,2,3,1,0,0,0,0,0,1,1,0,0,.000,.250,.000,.250
JakeJAnchiaAnchiaC,CLE,2,3,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000
TimTAndersonAndersonB,LAA,2,5,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
MiguelMAndujarAndujarLF,ATH,2,4,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000
RomanRAnthonyAnthonyLF,BOS,3,8,1,3,0,0,0,2,0,1,0,0,.375,.444,.375,.819
JonathanJArandaArandaB,TB,2,5,0,3,1,0,0,0,0,0,0,0,.600,.600,.800,1.400
OrlandoOArciaArciaSS,ATL,2,3,0,0,0,0,0,0,1,0,0,0,.000,.250,.000,.250
SilasSArdoinArdoinC,BAL,2,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
JadherJAreinamoAreinamoB,MIL,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
NolanNArenadoArenadoB,STL,2,4,0,1,0,0,0,0,1,0,0,0,.250,.400,.250,.650
RaynerRAriasAriasX,SF,1,0,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
RoderickRAriasAriasSS,NYY,2,4,1,3,1,0,0,0,0,1,0,0,.750,.750,1.000,1.750
RandyRArozarenaArozarenaLF,SEA,3,8,0,1,0,0,0,0,0,4,0,0,.125,.125,.125,.250
LuisLArraezArraezB,SD,2,4,0,2,0,0,0,1,0,0,0,0,.500,.500,.500,1.000
EdwinEArroyoArroyoSS,CIN,3,5,0,0,0,0,0,0,0,3,0,0,.000,.000,.000,.000
MichaelMArroyoArroyoB,SEA,3,5,1,1,1,0,0,2,0,1,0,0,.200,.333,.400,.733
AeversonAArteagaArteagaB,SF,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
DrewDAvansAvansCF,ATH,3,5,2,2,2,0,0,0,0,1,0,0,.400,.500,.800,1.300
JiHwanJBaeBaeCF,PIT,1,2,1,1,1,0,0,0,0,1,0,0,.500,.500,1.000,1.500
JuanJBaezBaezX,MIL,1,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000
LuisLBaezBaezRF,HOU,1,1,0,0,0,0,0,0,1,1,0,0,.000,.500,.000,.500
DarrenDBakerBakerB,WSH,2,3,2,1,0,0,0,1,1,0,0,0,.333,.500,.333,.833
LeoLBalcazarBalcazarB,CIN,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
DrakeDBaldwinBaldwinC,ATL,2,3,0,0,0,0,0,0,1,0,0,0,.000,.250,.000,.250
BrooksRBaldwinBaldwinB,CWS,2,4,0,1,1,0,0,0,0,0,0,0,.250,.250,.500,.750
MoisesMBallesterosBallesterosDH,CHC,5,8,3,2,0,0,0,0,2,1,0,0,.250,.400,.250,.650
ScottSBanduraBanduraLF,SF,1,0,1,0,0,0,0,0,1,0,0,0,.000,1.000,.000,1.000
ColinCBarberBarberLF,HOU,2,3,1,1,1,0,0,0,1,1,0,0,.333,.500,.667,1.167
AddisonABargerBargerB,TOR,1,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000
AustinABarnesBarnesC,LAD,3,7,1,4,1,0,0,2,0,1,0,0,.571,.625,.714,1.339
TuckerTBarnhartBarnhartC,TEX,2,5,0,3,1,0,0,1,0,0,0,0,.600,.600,.800,1.400
