Player,Team,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
VinnyVCapraCapraSS,MIL,3,7,2,3,0,0,2,6,0,2.0,1,0,0.429,0.429,1.286,1.715
EllyEDeLaCruzDeLaCruzSS,CIN,258,1006,172,251,51,17,38,120,104,362.0,102,24,0.25,.324,0.447,.771
MattMGorskiGorskiLF,PIT,2,5,2,2,0,0,2,6,0,1.0,0,0,0.4,0.4,1.6,2.0
TrevorTHauverHauverX,TEX,4,6,2,3,1,0,2,4,0,0.0,0,0,0.5,0.5,1.667,2.167
AustinAHaysHaysLF,CIN,579,2028,277,530,126,8,68,248,126,475.0,17,13,0.261,.313,0.432,.745
SandySLenLenC,ATL,557,1549,158,322,62,2,31,149,133,455.0,1,1,0.208,.276,0.311,.587
CamCSmithSmithB,HOU,2,2,3,2,0,0,2,3,2,0.0,0,0,1.0,1.0,4.0,5.0
MichaelMTogliaTogliaB,COL,192,651,90,134,27,5,31,76,73,241.0,12,3,0.206,.287,0.406,.693
HoganHWindishWindishB,SEA,3,5,4,3,0,0,2,4,0,2.0,0,0,0.6,0.667,1.8,2.467
MiguelMAmayaAmayaC,CHC,170,459,49,104,17,2,13,65,35,102.0,0,0,0.227,.300,0.357,.657
GabrielGAriasAriasB,CLE,191,515,60,109,25,2,14,46,42,182.0,9,6,0.212,.274,0.35,.624
ChristianCArroyoArroyoB,PHI,295,917,106,231,54,2,24,120,51,215.0,8,6,0.252,.299,0.394,.693
JosJAzocarAzocarCF,NYM,2,5,2,2,0,0,1,1,0,1.0,0,0,0.4,0.4,1.0,1.4
HarrisonHBaderBaderLF,MIN,2,5,1,3,0,0,1,1,0,0.0,0,0,0.6,0.6,1.2,1.8
PatrickPBaileyBaileyC,SF,218,727,75,170,34,2,15,94,60,200.0,5,0,0.234,.292,0.348,.640
LukenLBakerBakerDH,STL,2,4,1,2,0,0,1,4,1,1.0,0,0,0.5,0.5,1.25,1.75
WillWBanfieldBanfieldC,CIN,2,3,1,1,0,0,1,3,0,1.0,0,0,0.333,0.333,1.333,1.666
JoseJBarreroBarreroSS,STL,139,415,36,77,15,1,4,32,28,163.0,9,4,0.186,.242,0.255,.497
BrettBBatyBatyB,NYM,169,544,60,117,15,0,15,55,47,159.0,2,0,0.215,.282,0.325,.607
JakeJBauersBauersB,MIL,529,1521,194,317,69,5,51,183,195,510.0,31,13,0.208,.302,0.361,.663
TravisTBazzanaBazzanaB,CLE,2,3,1,1,0,0,1,4,3,2.0,0,0,0.333,0.667,1.333,2.0
