Player,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,Team
LuisLGuerreroGuerreroP,0,0,0.00,9,0,0,0,0,0,10.0,6,1,0,0.0,0.0,2,9,0.80,.182,BOS
AndrewAHoffmannHoffmannP,1,0,3.00,2,0,0,0,0,0,3.0,3,1,1,0.0,0.0,0,5,1.00,0.25,KC
CarsonCSpiersSpiersP,5,8,5.64,26,12,0,0,1,1,103.2,130,71,65,21.0,5.0,34,92,1.58,.300,CIN
JustinJSteeleSteeleP,29,21,3.24,98,87,1,0,0,0,484.0,439,207,174,46.0,19.0,150,496,1.22,.238,CHC
KolbyKAllardAllardP,11,24,5.99,76,42,0,0,1,1,272.0,301,188,181,55.0,9.0,92,227,1.44,.275,CLE
OsvaldoOBidoBidoP,7,8,4.50,32,18,0,0,0,0,114.0,98,60,57,7.0,15.0,47,111,1.27,.229,ATH
KyleKBrnovichBrnovichP,0,0,0.00,1,0,0,0,1,1,2.0,2,0,0,0.0,0.0,1,4,1.50,0.25,BAL
GarrettGCrochetCrochetP,9,19,3.29,104,32,0,0,0,2,219.0,180,89,80,21.0,8.0,73,294,1.16,.220,BOS
RyanRCusickCusickP,0,0,0.00,2,0,0,0,0,0,1.2,1,0,0,0.0,0.0,3,4,2.40,0.167,ATH
GersonGGarabitoGarabitoP,0,2,4.78,18,2,0,0,0,1,26.1,23,15,14,4.0,4.0,12,22,1.33,.240,TEX
JoeyJGerberGerberP,1,1,4.02,17,0,0,0,0,1,15.2,13,8,7,1.0,1.0,5,6,1.15,.241,TB
JTJGinnGinnP,1,1,4.24,8,6,0,0,0,0,34.0,36,16,16,4.0,2.0,9,29,1.32,.275,ATH
GordonGGraceffoGraceffoP,0,1,4.70,2,1,0,0,0,0,7.2,7,4,4,1.0,0.0,2,6,1.17,.250,STL
ConorCGrammesGrammesP,0,0,0.00,2,0,0,0,1,1,2.0,0,0,0,0.0,1.0,1,4,0.50,0.0,AZ
JesseJHahnHahnP,19,21,4.22,82,50,1,1,4,6,311.1,296,163,146,24.0,17.0,121,241,1.34,.250,SEA
ColeCHenryHenryP,0,0,0.00,1,0,0,0,0,0,1.1,2,0,0,0.0,0.0,0,4,1.50,0.333,WSH
JustinJJarvisJarvisP,0,1,22.50,2,0,0,0,0,2,2.0,4,5,5,0.0,0.0,3,4,3.50,0.4,LAD
EvanJJusticeJusticeP,0,0,8.22,10,0,0,0,0,0,7.2,14,7,7,0.0,1.0,9,8,3.00,.424,COL
KentaKMaedaMaedaP,68,56,4.17,219,172,0,0,6,6,978.2,864,478,453,141.0,37.0,279,1047,1.17,.234,DET
TrevorTMartinMartinP,0,0,6.75,2,0,0,0,0,0,1.1,2,1,1,1.0,0.0,0,4,1.50,0.333,TB
CarsonCRagsdaleRagsdaleP,0,0,0.00,1,0,0,0,0,0,2.0,1,0,0,0.0,0.0,1,4,1.00,0.143,SF
TannerTRaineyRaineyP,5,10,5.23,198,0,0,0,15,26,189.1,156,118,110,33.0,12.0,125,236,1.48,.221,PIT
EvanEReifertReifertP,0,0,4.50,2,0,0,0,0,1,2.0,0,1,1,0.0,0.0,1,4,0.50,0.0,WSH
JakeJRiceRiceP,0,1,32.40,2,0,0,0,0,0,1.2,6,7,6,0.0,0.0,2,4,4.80,0.5,AZ
MaxMScherzerScherzerP,0,0,4.50,1,1,0,0,0,0,2.0,1,1,1,0.0,0.0,0,4,0.50,0.167,TOR
BradyBSingerSingerP,36,44,4.28,127,124,1,0,0,0,685.1,695,347,326,82.0,42.0,214,645,1.33,.262,CIN
DaneDAckerAckerP,0,0,9.00,1,0,0,0,0,0,1.0,2,1,1,0.0,0.0,1,3,3.00,0.4,TEX
AustinAAdamsAdamsP,7,7,4.10,188,2,0,0,0,8,155.2,110,80,71,11.0,44.0,98,223,1.34,.199,BOS
AustinAAdamsAdamsP,2,0,6.45,68,0,0,0,1,1,75.1,91,57,54,12.0,0.0,34,58,1.66,.294,BOS
KeeganKAkinAkinP,11,18,4.70,167,25,0,0,3,6,304.2,296,175,159,41.0,6.0,96,318,1.29,.252,BAL
PhilPBickfordBickfordP,11,8,4.62,187,0,0,0,2,6,189.0,162,105,97,28.0,12.0,73,210,1.24,.228,CHC
HaydenHBirdsongBirdsongP,5,6,4.75,16,16,0,0,0,0,72.0,57,39,38,11.0,4.0,43,88,1.39,.216,SF
AJABlubaughBlubaughP,1,0,13.50,1,0,0,0,0,1,2.0,3,3,3,1.0,0.0,0,3,1.50,0.333,HOU
JuanJBurgosBurgosP,0,0,0.00,2,0,0,0,0,0,1.2,0,0,0,0.0,0.0,0,3,0.00,0.0,SEA
CorbinCBurnesBurnesP,60,36,3.19,199,138,0,0,2,3,903.2,707,351,320,97.0,35.0,254,1051,1.06,.212,AZ
JoeyJCantilloCantilloP,2,4,4.89,9,8,0,0,0,0,38.2,35,22,21,6.0,0.0,15,44,1.29,.238,CLE
EibersonECastellanoCastellanoP,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0.0,0.0,1,3,1.00,0.0,MIN
DiegoDCastilloCastilloP,24,18,3.20,265,17,0,0,35,47,278.1,202,116,99,33.0,16.0,109,310,1.12,.201,COL
HansHCrouseCrouseP,4,5,3.34,27,2,0,0,0,1,32.1,18,14,12,4.0,2.0,24,36,1.30,.162,LAA
