Player,Team,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
LuisLGuerreroGuerreroP,BOS,0,0,0.00,2,0,0,0,0,0,2.0,1,0,0,0,0,1,5,1.00,.143
AndrewAHoffmannHoffmannP,KC,1,0,3.00,2,0,0,0,0,0,3.0,3,1,1,0,0,0,5,1.00,.250
CarsonCSpiersSpiersP,CIN,0,0,4.50,1,0,0,0,0,0,2.0,2,1,1,0,0,1,5,1.50,.250
JustinJSteeleSteeleP,CHC,1,0,0.00,1,1,0,0,0,0,2.0,2,0,0,0,0,0,5,1.00,.250
KolbyKAllardAllardP,CLE,0,0,0.00,1,0,0,0,0,0,2.0,0,0,0,0,0,1,4,0.50,.000
OsvaldoOBidoBidoP,ATH,0,0,0.00,1,1,0,0,0,0,2.0,1,0,0,0,0,1,4,1.00,.143
KyleKBrnovichBrnovichP,BAL,0,0,0.00,1,0,0,0,1,1,2.0,2,0,0,0,0,1,4,1.50,.250
GarrettGCrochetCrochetP,BOS,0,0,0.00,1,1,0,0,0,0,1.2,3,0,0,0,0,1,4,2.40,.429
RyanRCusickCusickP,ATH,0,0,0.00,2,0,0,0,0,0,1.2,1,0,0,0,0,3,4,2.40,.167
GersonGGarabitoGarabitoP,TEX,0,0,0.00,2,0,0,0,0,0,3.0,1,0,0,0,0,2,4,1.00,.100
JoeyJGerberGerberP,TB,0,0,0.00,1,0,0,0,0,0,2.0,2,0,0,0,0,0,4,1.00,.250
JTJGinnGinnP,ATH,0,1,27.00,1,1,0,0,0,0,1.2,5,5,5,0,0,1,4,3.60,.500
GordonGGraceffoGraceffoP,STL,0,0,4.50,1,0,0,0,0,1,2.0,1,1,1,1,0,0,4,0.50,.143
ConorCGrammesGrammesP,AZ,0,0,0.00,2,0,0,0,1,1,2.0,0,0,0,0,1,1,4,0.50,.000
JesseJHahnHahnP,SEA,0,0,0.00,2,0,0,0,0,0,2.0,1,0,0,0,0,0,4,0.50,.143
ColeCHenryHenryP,WSH,0,0,0.00,1,0,0,0,0,0,1.1,2,0,0,0,0,0,4,1.50,.333
JustinJJarvisJarvisP,LAD,0,1,22.50,2,0,0,0,0,2,2.0,4,5,5,0,0,3,4,3.50,.400
EvanJJusticeJusticeP,COL,1,0,9.00,2,0,0,0,0,1,2.0,2,3,2,0,1,1,4,1.50,.286
KentaKMaedaMaedaP,DET,0,0,0.00,1,1,0,0,0,0,2.0,0,0,0,0,0,0,4,0.00,.000
TrevorTMartinMartinP,TB,0,0,6.75,2,0,0,0,0,0,1.1,2,1,1,1,0,0,4,1.50,.333
CarsonCRagsdaleRagsdaleP,SF,0,0,0.00,1,0,0,0,0,0,2.0,1,0,0,0,0,1,4,1.00,.143
TannerTRaineyRaineyP,PIT,1,0,0.00,2,0,0,0,0,0,2.0,1,0,0,0,0,0,4,0.50,.143
EvanEReifertReifertP,WSH,0,0,4.50,2,0,0,0,0,1,2.0,0,1,1,0,0,1,4,0.50,.000
JakeJRiceRiceP,AZ,0,1,32.40,2,0,0,0,0,0,1.2,6,7,6,0,0,2,4,4.80,.500
MaxMScherzerScherzerP,TOR,0,0,4.50,1,1,0,0,0,0,2.0,1,1,1,0,0,0,4,0.50,.167
BradyBSingerSingerP,CIN,1,0,0.00,1,1,0,0,0,0,2.0,2,0,0,0,0,1,4,1.50,.286
DaneDAckerAckerP,TEX,0,0,9.00,1,0,0,0,0,0,1.0,2,1,1,0,0,1,3,3.00,.400
AustinAAdamsAdamsP,BOS,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,0,3,1.00,.250
KeeganKAkinAkinP,BAL,0,0,4.50,2,0,0,0,0,0,2.0,1,1,1,1,0,0,3,0.50,.143
PhilPBickfordBickfordP,CHC,0,0,0.00,2,0,0,0,1,1,2.0,2,0,0,0,0,1,3,1.50,.286
HaydenHBirdsongBirdsongP,SF,1,0,4.50,1,0,0,0,0,0,2.0,2,1,1,0,0,0,3,1.00,.250
AJABlubaughBlubaughP,HOU,1,0,13.50,1,0,0,0,0,1,2.0,3,3,3,1,0,0,3,1.50,.333
JuanJBurgosBurgosP,SEA,0,0,0.00,2,0,0,0,0,0,1.2,0,0,0,0,0,0,3,0.00,.000
CorbinCBurnesBurnesP,AZ,0,0,0.00,1,1,0,0,0,0,1.0,0,0,0,0,0,0,3,0.00,.000
JoeyJCantilloCantilloP,CLE,0,0,0.00,1,1,0,0,0,0,2.0,1,0,0,0,0,0,3,0.50,.143
EibersonECastellanoCastellanoP,MIN,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,1,3,1.00,.000
DiegoDCastilloCastilloP,COL,0,0,4.50,2,0,0,0,0,0,2.0,1,1,1,0,0,1,3,1.00,.125
HansHCrouseCrouseP,LAA,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,3,0.00,.000
StevenSCruzCruzP,KC,0,0,0.00,2,0,0,0,0,0,2.0,1,0,0,0,0,0,3,0.50,.125
ChaseCDollanderDollanderP,COL,0,0,4.50,1,1,0,0,0,0,2.0,2,1,1,1,0,0,3,1.00,.250
ShaneSDrohanDrohanP,BOS,1,0,0.00,1,0,0,0,0,0,2.0,0,0,0,0,0,0,3,0.00,.000
JuniorJunFernndezFernndezP,KC,0,0,13.50,2,0,0,0,0,0,2.0,5,3,3,1,0,1,3,3.00,.455
RicoRGarciaGarciaP,NYM,0,0,0.00,2,0,0,0,0,0,2.0,2,0,0,0,0,0,3,1.00,.250
