Player,Team,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
1ChrisC SaleSaleP1‌‌‌,ATL,18,3,2.38,29,29,0,0,0,0,177.2,141,48,47,9,8,39,225,1.01,.216
2TarikT SkubalSkubalP2‌‌‌,DET,18,4,2.39,31,31,0,0,0,0,192.0,142,54,51,15,9,35,228,0.92,.201
3ZackZ WheelerWheelerP3‌‌‌,PHI,16,7,2.57,32,32,0,0,0,0,200.0,139,62,57,20,8,52,224,0.96,.192
4RonelR BlancoBlancoP4‌‌‌,HOU,13,6,2.80,30,29,1,1,0,0,167.1,114,56,52,22,2,68,166,1.09,.190
5ShotaS ImanagaImanagaP5‌‌‌,CHC,15,3,2.91,29,29,0,0,0,0,173.1,149,66,56,27,3,28,174,1.02,.225
6FramberF ValdezValdezP6‌‌‌,HOU,15,7,2.91,28,28,1,0,0,0,176.1,140,60,57,13,6,55,169,1.11,.221
7CorbinC BurnesBurnesP7‌‌‌,BAL,15,9,2.92,32,32,0,0,0,0,194.1,165,76,63,22,2,48,181,1.10,.226
8BryceB MillerMillerP8‌‌‌,SEA,12,8,2.94,31,31,0,0,0,0,180.1,131,62,59,21,3,45,171,0.98,.200
9MichaelM KingKingP9‌‌‌,SD,13,9,2.95,31,30,0,0,0,0,173.2,144,71,57,17,7,63,201,1.19,.221
10SethS LugoLugoP10‌‌‌,KC,16,9,3.00,33,33,1,0,0,0,206.2,177,75,69,16,9,48,181,1.09,.229
11TannerT HouckHouckP11‌‌‌,BOS,9,10,3.12,30,30,1,1,0,0,178.2,156,75,62,11,16,48,154,1.14,.231
12ColeC RagansRagansP12‌‌‌,KC,11,9,3.14,32,32,1,0,0,0,186.1,146,71,65,15,6,67,223,1.14,.213
13JackJ FlahertyFlahertyP13‌‌‌,LAD,13,7,3.17,28,28,0,0,0,0,162.0,135,61,57,24,4,38,194,1.07,.223
14LoganL GilbertGilbertP14‌‌‌,SEA,9,12,3.23,33,33,1,0,0,0,208.2,148,83,75,26,4,37,220,0.89,.196
15MaxM FriedFriedP15‌‌‌,ATL,11,10,3.25,29,29,2,1,0,0,174.1,146,71,63,13,7,57,166,1.16,.226
16JamesonJ TaillonTaillonP16‌‌‌,CHC,12,8,3.27,28,28,0,0,0,0,165.1,154,67,60,21,1,33,125,1.13,.243
17ErickE FeddeFeddeP17‌‌‌,STL,9,9,3.30,31,31,0,0,0,0,177.1,154,66,65,20,5,52,154,1.16,.233
18CristopherC SánchezSánchezP18‌‌‌,PHI,11,9,3.32,31,31,2,1,0,0,181.2,182,76,67,11,0,44,153,1.24,.258
19MichaelM WachaWachaP19‌‌‌,KC,13,8,3.35,29,29,0,0,0,0,166.2,154,65,62,17,5,45,145,1.19,.246
20SeanS ManaeaManaeaP20‌‌‌,NYM,12,6,3.47,32,32,0,0,0,0,181.2,134,75,70,21,9,63,184,1.08,.202
21DylanD CeaseCeaseP21‌‌‌,SD,14,11,3.47,33,33,1,1,0,0,189.1,137,80,73,18,2,65,224,1.07,.200
22TannerT BibeeBibeeP22‌‌‌,CLE,12,8,3.47,31,31,0,0,0,0,173.2,150,70,67,22,8,44,187,1.12,.230
23LoganL WebbWebbP23‌‌‌,SF,13,10,3.47,33,33,1,1,0,0,204.2,202,83,79,11,2,50,172,1.23,.258
24HunterH BrownBrownP24‌‌‌,HOU,11,9,3.49,31,30,0,0,0,0,170.0,156,71,66,18,5,60,179,1.27,.242
25GeorgeG KirbyKirbyP25‌‌‌,SEA,14,11,3.53,33,33,0,0,0,0,191.0,181,82,75,22,7,23,179,1.07,.245
26AaronA NolaNolaP26‌‌‌,PHI,14,8,3.57,33,33,1,1,0,0,199.1,189,84,79,30,3,50,197,1.20,.247
27ZachZ EflinEflinP27‌‌‌,BAL,10,9,3.59,28,28,0,0,0,0,165.1,166,71,66,22,3,24,134,1.15,.254
28JoséJ BerríosBerríosP28‌‌‌,TOR,16,11,3.60,32,32,1,0,0,0,192.1,168,79,77,31,13,54,153,1.15,.235
29LuisL CastilloCastilloP29‌‌‌,SEA,11,12,3.64,30,30,0,0,0,0,175.1,158,73,71,25,5,47,175,1.17,.238
30FreddyF PeraltaPeraltaP30‌‌‌,MIL,11,9,3.68,32,32,0,0,0,0,173.2,143,74,71,26,10,68,200,1.21,.224
31BradyB SingerSingerP31‌‌‌,KC,9,13,3.71,32,32,0,0,0,0,179.2,175,77,74,22,10,54,170,1.27,.253
32JoseJ QuintanaQuintanaP32‌‌‌,NYM,10,10,3.75,31,31,0,0,0,0,170.1,150,73,71,22,11,63,135,1.25,.237
33NestorN CortesCortesP33‌‌‌,NYY,9,10,3.77,31,30,0,0,0,0,174.1,162,74,73,24,4,39,162,1.15,.245
34NathanN EovaldiEovaldiP34‌‌‌,TEX,12,8,3.80,29,29,0,0,0,0,170.2,147,74,72,23,7,42,166,1.11,.229
35TylerT AndersonAndersonP35‌‌‌,LAA,10,15,3.81,31,31,0,0,0,0,179.1,158,83,76,24,7,73,142,1.29,.232
36KevinK GausmanGausmanP36‌‌‌,TOR,14,11,3.83,31,31,2,1,0,0,181.0,165,86,77,20,2,56,162,1.22,.238
37SonnyS GrayGrayP37‌‌‌,STL,13,9,3.84,28,28,0,0,0,0,166.1,142,79,71,21,3,39,203,1.09,.228
38MacKenzieM GoreGoreP38‌‌‌,WSH,10,12,3.90,32,32,0,0,0,0,166.1,171,93,72,15,11,65,181,1.42,.263
39LuisL SeverinoSeverinoP39‌‌‌,NYM,11,7,3.91,31,31,1,1,0,0,182.0,166,86,79,23,11,60,161,1.24,.243
40CarlosC RodónRodónP40‌‌‌,NYY,16,9,3.96,32,32,0,0,0,0,175.0,157,81,77,31,10,57,195,1.22,.235
41BaileyB OberOberP41‌‌‌,MIN,12,9,3.98,31,31,1,0,0,0,178.2,136,81,79,27,6,43,191,1.00,.208
42YuseiY KikuchiKikuchiP42‌‌‌,HOU,9,10,4.05,32,32,0,0,0,0,175.2,167,85,79,25,2,44,206,1.20,.245
43PabloP LópezLópezP43‌‌‌,MIN,15,10,4.08,32,32,0,0,0,0,185.1,180,90,84,26,8,41,198,1.19,.252
44ChrisC BassittBassittP44‌‌‌,TOR,10,14,4.16,31,31,0,0,0,0,171.0,180,91,79,18,16,70,168,1.46,.270
45CharlieC MortonMortonP45‌‌‌,ATL,8,10,4.19,30,30,0,0,0,0,165.1,154,85,77,23,18,65,167,1.32,.251
46KyleK GibsonGibsonP46‌‌‌,STL,8,8,4.24,30,30,0,0,0,0,169.2,161,91,80,23,4,68,151,1.35,.251
47MitchM KellerKellerP47‌‌‌,PIT,11,12,4.25,31,31,1,0,0,0,178.0,182,90,84,23,15,50,166,1.30,.261
48ColinC ReaReaP48‌‌‌,MIL,12,6,4.29,32,27,0,0,1,1,167.2,169,83,80,29,10,43,135,1.26,.258
49KutterK CrawfordCrawfordP49‌‌‌,BOS,9,16,4.36,33,33,0,0,0,0,183.2,155,97,89,34,9,51,175,1.12,.223
50JPJ SearsSearsP50‌‌‌,OAK,11,13,4.38,32,32,0,0,0,0,180.2,172,93,88,28,14,49,137,1.22,.251
51JakeJ IrvinIrvinP51‌‌‌,WSH,10,14,4.41,33,33,0,0,0,0,187.2,173,97,92,29,4,52,156,1.20,.244
52BrayanB BelloBelloP52‌‌‌,BOS,14,8,4.49,30,30,0,0,0,0,162.1,157,84,81,19,11,64,153,1.36,.252
52RyanR FeltnerFeltnerP52‌‌‌,COL,3,10,4.49,30,30,0,0,0,0,162.1,165,94,81,20,7,52,138,1.34,.263
54BrandonB PfaadtPfaadtP54‌‌‌,AZ,11,10,4.71,32,32,0,0,0,0,181.2,183,103,95,24,4,42,185,1.24,.259
55AustinA GomberGomberP55‌‌‌,COL,5,12,4.75,30,30,0,0,0,0,165.0,178,89,87,30,1,38,116,1.31,.273
56GriffinG CanningCanningP56‌‌‌,LAA,6,13,5.19,32,31,0,0,0,0,171.2,174,105,99,31,6,66,130,1.40,.265
57MilesM MikolasMikolasP57‌‌‌,STL,10,11,5.35,32,32,0,0,0,0,171.2,194,106,102,26,5,25,122,1.28,.284
58PatrickP CorbinCorbinP58‌‌‌,WSH,6,13,5.62,32,32,0,0,0,0,174.2,208,114,109,25,3,54,139,1.50,.298
