Team,G_x,AB,R_x,H_x,2B,3B,HR_x,RBI,BB_x,SO_x,SB,AVG_x,OBP,SLG,OPS,W,L,ERA,G_y,GS,CG,SHO,SV,SVO,IP,H_y,R_y,ER,HR_y,HB,BB_y,SO_y,WHIP,AVG_y
ATH,3153,10370,1263,2585,527,40,340,1295,821,2322.0,94,0.145375,0.24575,0.22028125,0.46603125,86,91,4.5148,867,172,0,0,48,78,1674.8,1494,829,766,203.0,95.0,691,1731,1.4384000000000001,0.19872
ATL,7248,24283,3224,6139,1190,69,1064,3419,2326,6370.0,165,0.15056818181818182,0.24988636363636366,0.20911363636363636,0.459,413,388,4.671111111111111,3549,749,19,5,67,179,7052.0,6352,3450,3182,879.0,359.0,2711,7490,1.4507407407407409,0.23081481481481483
AZ,6488,22010,2964,5703,1121,104,828,3039,2005,5127.0,225,0.23582857142857142,0.3150571428571428,0.31994285714285714,0.635,229,186,5.867837837837838,1862,361,2,2,68,141,3544.3,3113,1657,1506,417.0,162.0,1205,3710,1.6994594594594594,0.23516216216216218
BAL,5837,19035,2601,4691,920,102,743,2573,1831,4965.0,266,0.23971428571428574,0.3502285714285714,0.3880857142857143,0.7383142857142857,273,289,5.2318181818181815,2047,606,4,3,121,178,4716.099999999999,4393,2395,2174,520.0,289.0,1869,4552,1.5618181818181818,0.22577272727272726
BOS,3645,12224,1835,3093,677,61,536,1766,1358,3113.0,268,0.23044444444444445,0.3387037037037037,0.35374074074074074,0.6924444444444445,119,139,11.888571428571428,1225,236,2,1,28,66,2256.2,2171,1198,1090,259.0,143.0,949,2193,2.1295238095238096,0.25723809523809527
CHC,5288,16337,2251,4044,807,86,502,1986,1778,4378.0,432,0.28963636363636364,0.39524242424242423,0.45042424242424245,0.8456666666666667,397,379,4.081891891891892,3368,814,8,3,167,274,7027.4,6513,3504,3230,929.0,263.0,2433,6785,1.1608108108108108,0.19954054054054055
CIN,4458,14358,1951,3558,737,84,466,1789,1272,3653.0,309,0.1933,0.273525,0.329625,0.6031500000000001,328,339,4.760000000000001,3640,465,3,1,223,389,5813.3,5511,2871,2607,749.0,299.0,2056,5592,1.358148148148148,0.25607407407407407
CLE,5769,19521,2765,4840,1039,87,760,2657,2460,3799.0,423,0.22316666666666668,0.3619444444444444,0.4385,0.8004444444444444,130,182,2.810769230769231,694,446,2,1,3,8,2642.8,2579,1473,1412,435.0,106.0,1022,2459,1.3853846153846154,0.1793076923076923
COL,4672,14729,1886,3584,736,67,494,1911,1264,4259.0,253,0.2241590909090909,0.2825,0.3693181818181818,0.6518181818181819,287,309,3.572058823529412,2009,676,5,2,89,163,5105.5,5276,2819,2638,689.0,215.0,1787,4263,1.3908823529411765,0.21244117647058824
CWS,7577,23968,3136,5763,1168,77,860,3001,2499,6727.0,390,0.2156764705882353,0.29955882352941177,0.3878823529411765,0.6874411764705882,69,101,5.414285714285714,1073,117,1,1,27,77,1524.8999999999999,1304,816,748,210.0,74.0,793,1500,1.3596428571428572,0.20767857142857143
DET,3091,9946,1248,2400,459,72,312,1153,794,2712.0,89,0.2808787878787879,0.3413030303030303,0.45812121212121215,0.7994242424242425,111,104,2.555,515,304,2,1,8,12,1875.4,1731,933,872,258.0,77.0,559,1747,1.335,0.22405
HOU,4033,12347,1650,3020,588,40,463,1685,1302,3233.0,116,0.25892499999999996,0.351225,0.43479999999999996,0.786025,80,78,5.54,1041,100,1,1,18,58,1481.4,1307,760,692,215.0,83.0,665,1471,1.5711538461538461,0.24465384615384614
KC,4188,13104,1740,3241,645,95,380,1623,1138,3193.0,347,0.2746486486486487,0.37545945945945947,0.4495405405405405,0.825,164,184,4.536296296296296,1528,368,2,0,55,118,3206.9,3051,1590,1466,396.0,136.0,1184,3073,1.4400000000000002,0.2273703703703704
LAA,4023,13809,1710,3435,674,72,404,1615,1207,3384.0,151,0.20815151515151514,0.32093939393939397,0.3199393939393939,0.6408787878787879,220,225,9.83,1091,583,8,5,9,29,3770.6,3666,1941,1792,489.0,195.0,1283,3181,1.8665517241379308,0.23848275862068966
LAD,5923,19081,3144,4831,1044,81,868,2787,2462,4550.0,296,0.21283333333333332,0.3476,0.32703333333333334,0.6746333333333333,361,283,4.6284210526315785,3233,519,1,1,307,438,5420.400000000001,4435,2336,2143,593.0,191.0,2195,6212,1.726842105263158,0.2311315789473684
MIA,1260,3688,433,878,151,15,81,376,285,900.0,88,0.24058333333333332,0.3154444444444444,0.33955555555555555,0.6549999999999999,80,106,8.02375,601,234,12,4,22,37,1720.0,1512,820,732,209.0,87.0,667,1613,1.8429166666666668,0.21637499999999998
MIL,3460,11163,1505,2710,542,42,442,1533,1204,3344.0,230,0.18175,0.24475,0.2927777777777778,0.5375277777777777,48,53,6.576,476,63,0,0,9,32,790.6,739,441,393,104.0,43.0,331,746,1.8242857142857143,0.20405714285714285
MIN,5063,17139,2331,4369,896,60,672,2339,1555,4311.0,198,0.15724242424242424,0.27454545454545454,0.2493030303030303,0.5238484848484848,55,74,5.291111111111111,816,79,0,0,68,94,1221.6,1208,670,593,173.0,63.0,417,1259,1.5388888888888888,0.21144444444444443
NYM,5830,20467,3227,5386,1047,77,990,3023,2479,4507.0,365,0.1837272727272727,0.2634090909090909,0.29227272727272724,0.5556818181818182,99,84,6.430294117647058,1194,47,0,0,92,160,1560.5,1400,810,746,181.0,92.0,675,1564,1.6088235294117648,0.2698235294117647
NYY,5173,17617,2686,4616,949,80,778,2588,2041,4610.0,460,0.25245454545454543,0.33196969696969697,0.38663636363636367,0.7186060606060606,313,336,4.427083333333333,1515,833,19,8,14,33,5411.2,5188,2672,2480,642.0,214.0,1847,5371,1.45875,0.25533333333333336
PHI,4878,16791,2298,4251,857,81,710,2382,1606,4411.0,189,0.26233333333333336,0.3793666666666667,0.44126666666666664,0.8206333333333333,56,38,5.9123809523809525,563,73,3,2,5,17,981.6999999999999,997,512,474,128.0,55.0,320,899,1.9119047619047618,0.23347619047619045
PIT,3105,9815,1271,2413,467,58,220,1040,852,2330.0,179,0.26259375,0.33553125,0.38,0.71553125,166,198,4.658095238095238,2274,244,2,1,126,205,3251.5,3049,1739,1579,385.0,224.0,1366,3323,1.4252380952380952,0.23133333333333336
SD,7295,25184,3285,6588,1349,100,849,3236,2166,5130.0,256,0.2610277777777778,0.35644444444444445,0.35891666666666666,0.7153611111111111,64,60,4.833793103448276,855,84,0,0,8,32,1252.3999999999999,1201,668,613,157.0,80.0,474,1167,1.5079310344827586,0.22255172413793103
SEA,4718,15948,2260,3918,801,62,624,2120,1606,4300.0,365,0.27075,0.35655000000000003,0.48557500000000003,0.842125,273,273,7.626744186046511,2043,627,5,2,132,184,4949.2,4547,2438,2245,620.0,189.0,1775,4796,1.9848837209302324,0.24741860465116278
